Full Name,Fighter_Id,Nickname,Ht.,Wt.,Reach,Stance,W,L,D,Belt
Hector Aldana,c487223b0289bda9,No Nickname,5.11,170.0,72.0,Orthodox,4,3,0,False
Jose Alday,7460ddef986d3144,Pochito,5.7,135.0,68.0,Orthodox,14,6,1,False
Jose Aldo,d0f3959b4a9747e6,No Nickname,5.7,135.0,70.0,Orthodox,32,10,0,False
JJ Aldrich,6fd953151d981979,No Nickname,5.5,125.0,67.0,Southpaw,14,7,0,False
Irina Alekseeva,103e2e33a60683e1,Russian Ronda,5.8,135.0,67.0,Orthodox,5,4,0,False
Talita Alencar,d35298b6df168456,Problem Child,5.1,115.0,58.0,Orthodox,7,1,1,False
Jim Alers,fe5a9547479396ab,The Beast,5.9,145.0,71.0,Orthodox,13,3,0,False
John Alessio,7a15f3694c5cbc02,The Natural,5.1,155.0,72.0,Orthodox,35,17,0,False
Houston Alexander,0541480fbf719d86,The Assassin,6.0,205.0,72.0,Orthodox,17,15,1,False
Kenneth Alexander,8fd76e1b49c00ae2,The Machine,5.9,155.0,,Orthodox,7,6,0,False
Lucas Alexander,11583163f45c7b31,The Lion,5.11,145.0,73.0,Orthodox,8,5,0,False
Marcio Alexandre Junior,d53482bef23235ba,Lyoto,6.0,185.0,75.0,Southpaw,17,4,0,False
Olaf Alfonso,b757c73f443d4fca,No Nickname,6.2,170.0,,Orthodox,8,12,0,False
Pablo Alfonso,4b37a0bc2ab4cae1,The Hurricane,5.8,145.0,,Orthodox,9,7,0,False
Levi Alford,41b34b7f11f6d085,No Nickname,,,,Orthodox,1,7,0,False
Bill Algeo,9abc648e76c4493a,Senor Perfecto,6.0,145.0,73.0,Switch,18,9,0,False
Royce Alger,669a3cb6e394f515,No Nickname,5.1,199.0,,Orthodox,3,2,0,False
Amir Aliakbari,e17770faae3ca54c,No Nickname,6.3,250.0,,Orthodox,10,1,0,False
Sultan Aliev,e70de1859b7ee78e,No Nickname,5.11,170.0,74.0,Orthodox,15,3,0,False
Nurullo Aliev,ca28cdf526d6b6e9,Tajik Eagle,5.1,155.0,72.0,Orthodox,11,0,0,False
Ikram Aliskerov,b07aed698fba8624,No Nickname,6.0,185.0,76.0,Southpaw,17,2,0,False
Leon Aliu,6db394bf6c3b017c,The Albanian Lion,6.0,185.0,74.0,Orthodox,10,2,0,False
John Allan,6ebe96a116e79e52,No Nickname,6.1,205.0,75.0,Orthodox,13,7,0,False
George Allen,1e13936d708bcff7,No Nickname,6.2,205.0,,Open Stance,13,19,2,False
Arnold Allen,040a74bb0a465c54,Almighty,5.8,145.0,70.0,Southpaw,20,3,0,False
Brendan Allen,2f181c0467965b98,All In,6.2,185.0,75.0,Orthodox,26,7,0,False
Daniel Allen,adf9a901308fb8e3,No Nickname,6.0,155.0,75.0,Southpaw,5,0,0,False
Ben Alloway,c4fe2e9a06ea5bcb,Blanco,5.11,170.0,76.0,Orthodox,18,8,0,False
Asu Almabayev,8d3273573b85be09,Zulfikar,5.4,125.0,65.0,Orthodox,23,3,0,False
Bekzat Almakhan,a4dc0f2b95df4cc1,The Turan Warrior,5.7,135.0,68.0,Orthodox,12,3,0,False
John Dave Almanza,088aa1b19b2dc14a,The Striker,5.7,125.0,67.0,Southpaw,6,1,0,False
Ricardo Almeida,91186547a7f3f758,Big Dog,6.0,170.0,74.0,Orthodox,13,5,0,False
Magno Almeida,d615d6a10a4704cd,No Nickname,6.0,155.0,,Orthodox,10,3,0,False
Thomas Almeida,2b074403b7c6cdb4,Thominhas,5.7,145.0,70.0,Southpaw,22,5,0,False
Ericka Almeida,67a992d4cff22466,No Nickname,5.6,115.0,,Orthodox,7,3,0,False
Estefani Almeida,f16ddfa31236efed,No Nickname,5.4,125.0,,Orthodox,7,3,0,False
Jailton Almeida,41e83a89929d1327,Malhadinho,6.3,237.0,79.0,Orthodox,22,4,0,False
Lucas Almeida,710f0f8c5d5c9d41,No Nickname,5.11,145.0,71.0,Orthodox,15,5,0,False
Cesar Almeida,64d47ef881a437a4,Cesinha,6.1,185.0,74.0,Orthodox,7,1,0,False
Mauricio Alonso,c6bf75775b278ed8,No Nickname,6.2,170.0,,Orthodox,13,7,0,False
