Fighter_Id,Full Name,Nickname,Ht.,Wt.,Stance,W,L,D,Belt,Avg Rounds,Avg Fight Time,KD,STR,TD,SUB,Ctrl,Sig. Str. %,Head_%,Body_%,Leg_%,Distance_%,Clinch_%,Ground_%,Sub. Att,Rev.,Weight_Class,Gender,Fighting Style
15df64c02b6b0fde,Danny Abbadi,The Assassin,5.11,155.0,Orthodox,4,6,0,False,2.0,538.0,0.0,29.5,0.0,0.0,55.0,0.36,0.3,0.89,0.0,0.27,0.55,0.38,0.0,0.0,Lightweight,Male,Hybrid
b361180739bed4b0,David Abbott,Tank,6.0,265.0,Switch,10,15,0,False,1.11,284.61,0.22,8.67,0.56,0.22,41.0,0.5,0.45,0.28,0.0,0.32,0.35,0.38,0.22,0.06,Heavyweight,Male,No Clear Style
3329d692aea4dc28,Hamdy Abdelwahab,The Hammer,6.2,265.0,Southpaw,7,1,0,False,3.0,900.0,0.25,71.75,3.25,0.0,275.25,0.55,0.48,0.78,0.78,0.5,0.4,0.54,0.0,0.0,Heavyweight,Male,Striker
841695e02c99a521,Mansur Abdul-Malik,No Nickname,6.2,185.0,Orthodox,9,0,1,False,1.75,343.25,0.25,21.25,0.5,0.25,42.75,0.48,0.47,0.56,0.25,0.34,0.41,0.72,0.25,0.0,Middleweight,Male,Hybrid
2f5cbecbbe18bac4,Shamil Abdurakhimov,Abrek,6.3,235.0,Orthodox,20,8,0,False,2.18,567.45,0.27,25.64,1.0,0.09,99.36,0.43,0.37,0.42,0.68,0.3,0.38,0.38,0.09,0.0,Heavyweight,Male,Hybrid
5140122c3eecd307,Daichi Abe,No Nickname,5.11,170.0,Orthodox,6,2,0,False,3.0,900.0,0.33,57.0,0.33,0.0,7.33,0.33,0.25,0.41,0.81,0.31,0.39,0.56,0.0,0.0,Welterweight,Male,Hybrid
c9f6385af6df66d7,Papy Abedi,Makambo,5.11,185.0,Southpaw,10,4,0,False,2.0,519.25,0.0,26.75,1.75,1.0,183.75,0.49,0.4,0.74,0.52,0.36,0.61,0.53,1.0,0.0,Welterweight,Male,Wrestler
aa6e591c2a2cdecd,Ricardo Abreu,Demente,5.11,185.0,Orthodox,5,1,0,False,2.5,633.0,1.0,50.0,0.0,0.5,44.0,0.32,0.26,0.64,0.81,0.28,0.5,0.38,0.5,0.0,Middleweight,Male,Hybrid
7279654c7674cd24,Klidson Abreu,White Bear,6.0,205.0,Orthodox,15,4,0,False,2.5,702.75,0.0,22.0,0.25,0.0,71.5,0.46,0.18,0.6,0.92,0.42,0.94,0.19,0.0,0.25,Light Heavyweight,Male,Hybrid
2620f3eb21c79614,Scott Adams,No Nickname,6.0,225.0,Southpaw,8,1,0,False,1.0,189.0,0.0,0.0,1.0,4.0,77.0,0.398,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,Heavyweight,Male,No Clear Style
83b00f7597e5ac83,Juan Adams,The Kraken,6.5,265.0,Orthodox,5,3,0,False,2.0,430.5,0.25,33.75,0.25,0.0,36.5,0.51,0.45,0.46,0.75,0.51,0.56,0.58,0.0,0.0,Heavyweight,Male,Hybrid
79cb2a690b9ba5e8,Zarrukh Adashev,The Lion,5.5,125.0,Southpaw,4,4,0,False,2.0,473.25,0.25,18.5,0.0,0.0,20.25,0.34,0.28,0.37,0.9,0.34,0.17,0.25,0.0,0.0,Flyweight,Male,Hybrid
