date,fighter_1,fighter_2,bet_on,model_prob,market_prob,edge,stake,odds,won,pnl,bankroll
2023-01-21,Ismael Bonfim,Terrance McKinney,Terrance McKinney,0.646170576034159,0.5,0.14617057603415895,50.0,1.9090909090909087,False,-50.0,950.0
2023-02-11,Josh Culibao,Melsik Baghdasaryan,Melsik Baghdasaryan,0.5924717167453379,0.5,0.09247171674533794,34.25,1.9090909090909087,False,-34.25,915.75
2023-03-11,Vitor Petrino,Anton Turkalj,Vitor Petrino,0.6098798403677504,0.5242214532871973,0.08565838708055318,32.45,1.8333333333333333,True,27.041666666666668,942.7916666666666
2023-03-18,Chris Duncan,Omar Morales,Chris Duncan,0.5849785183904477,0.5044523597506679,0.08052615863977974,30.28,1.9090909090909087,True,27.527272727272717,970.3189393939393
2023-04-15,Tanner Boser,Ion Cutelaba,Ion Cutelaba,0.6848609060525694,0.5403677058353319,0.14449320021723755,48.52,1.7692307692307692,True,37.323076923076925,1007.6420163170162
2023-04-22,Jeremiah Wells,Matthew Semelsberger,Jeremiah Wells,0.6202715308182906,0.484603202533873,0.13566832828441755,50.38,1.9803921568627447,True,49.39215686274508,1057.0341731797612
2023-04-29,Martin Buday,Jake Collier,Martin Buday,0.7131256442802741,0.5671302866874822,0.14599535759279192,52.85,1.6944444444444444,True,36.701388888888886,1093.73556206865
2023-05-06,Kennedy Nzechukwu,Devin Clark,Kennedy Nzechukwu,0.7174530291248349,0.6220187393526406,0.09543428977219426,54.02,1.5434782608695652,True,29.358695652173914,1123.094257720824
2023-05-06,Aljamain Sterling,Henry Cejudo,Aljamain Sterling,0.6382738110831733,0.5217391304347827,0.11653468064839057,56.15,1.8333333333333333,True,46.791666666666664,1169.8859243874908
2023-05-20,Takashi Sato,Themba Gorimbo,Themba Gorimbo,0.6765179077932613,0.5634920634920635,0.11302584430119778,58.49,1.704225352112676,True,41.190140845070424,1211.0760652325612
2023-05-20,Orion Cosce,Gilbert Urbina,Gilbert Urbina,0.6294212987826955,0.5327882529617889,0.0966330458209066,51.44,1.806451612903225,True,41.48387096774189,1252.5599362003031
2023-06-03,Kai Kara-France,Amir Albazi,Kai Kara-France,0.5927178814661597,0.484603202533873,0.10811467893228666,55.52,1.9803921568627447,False,-55.52,1197.0399362003031
2023-06-17,Armen Petrosyan,Christian Leroy Duncan,Christian Leroy Duncan,0.6895190804530174,0.5857068876229934,0.10381219283002396,59.85,1.641025641025641,False,-59.85,1137.1899362003032
2023-07-01,Damir Ismagulov,Grant Dawson,Grant Dawson,0.6515030877503779,0.484603202533873,0.1668998852165049,56.86,1.9803921568627447,True,55.74509803921566,1192.935034239519
2023-07-15,Norma Dumont,Chelsea Chandler,Norma Dumont,0.6819854832844798,0.5634920634920635,0.11849341979241634,59.65,1.704225352112676,True,42.00704225352112,1234.94207649304
2023-07-15,Albert Duraev,JunYong Park,JunYong Park,0.6671122593235359,0.5823742190069057,0.08473804031663024,47.69,1.6493506493506491,True,30.967532467532454,1265.9096089605725
2023-07-22,Lerone Murphy,Josh Culibao,Lerone Murphy,0.6443727619309064,0.5620437956204379,0.08232896631046849,46.36,1.7142857142857144,True,33.11428571428572,1299.0238946748582
2023-07-29,Jan Blachowicz,Alex Pereira,Alex Pereira,0.6219154081742987,0.5217391304347827,0.10017627773951598,54.63,1.8333333333333333,True,45.525,1344.5488946748583
2023-08-05,Jeremiah Wells,Carlston Harris,Jeremiah Wells,0.6612599289019301,0.5173641257162701,0.14389580318565998,67.23,1.847457627118644,False,-67.23,1277.3188946748583
2023-08-26,Anthony Smith,Ryan Spann,Ryan Spann,0.6742559748674712,0.5427435387673957,0.13151243610007557,63.87,1.7692307692307692,False,-63.87,1213.4488946748584
2023-09-23,Mohammed Usman,Jake Collier,Mohammed Usman,0.6642645820321308,0.5217391304347827,0.14252545159734809,60.67,1.8333333333333333,True,50.55833333333333,1264.0072280081918
2023-09-23,Bryan Battle,AJ Fletcher,Bryan Battle,0.7771732815005276,0.6309403437815975,0.1462329377189301,63.2,1.5208333333333337,True,32.91666666666669,1296.9238946748585
2023-11-11,John Castaneda,Kyung Ho Kang,John Castaneda,0.6166734873917753,0.5108342361863489,0.10583925120542637,57.02,1.869565217391304,True,49.582608695652155,1346.5065033705107
2023-11-11,Diego Lopes,Pat Sabatini,Pat Sabatini,0.6599941328438075,0.5427435387673957,0.11725059407641181,67.33,1.7692307692307692,False,-67.33,1279.1765033705108
2023-11-11,Jiri Prochazka,Alex Pereira,Alex Pereira,0.6366131953978409,0.5203045685279188,0.11630862686992205,58.32,1.8,True,46.656000000000006,1325.8325033705107
2023-11-18,Uros Medic,Myktybek Orolbai,Myktybek Orolbai,0.5566935982837076,0.43072289156626514,0.12597070671744243,22.89,1.9090909090909087,True,20.8090909090909,1346.6415942796016
2023-12-02,Sean Brady,Kelvin Gastelum,Sean Brady,0.6454666424103582,0.5108342361863489,0.1346324062240093,67.33,1.869565217391304,True,58.5478260869565,1405.1894203665581
