date,fighter_1,fighter_2,bet_on,model_prob,market_prob,edge,stake,odds,won,pnl,bankroll
2024-02-17,Zhang Mingyang,Brendson Ribeiro,Brendson Ribeiro,0.5898144540234525,0.5,0.08981445402345245,48.69,1.9090909090909087,False,-48.69,1356.499420366558
2024-02-24,Jesus Aguilar,Mateus Mendonca,Mateus Mendonca,0.6518186976738618,0.551441114716549,0.1003775829573128,61.64,1.7407407407407407,False,-61.64,1294.859420366558
2024-03-16,Tai Tuivasa,Marcin Tybura,Marcin Tybura,0.6911441689332216,0.4826358742837299,0.20850829464949172,64.74,1.9803921568627447,True,63.47058823529409,1358.3300086018521
2024-03-23,Kurt Holobaugh,Trey Ogden,Trey Ogden,0.6600458176360091,0.5324675324675325,0.12757828516847658,67.92,1.8,True,54.336000000000006,1412.6660086018521
2024-03-30,Dennis Buzukja,Connor Matthews,Connor Matthews,0.5769841140046315,0.4826358742837299,0.09434823972090156,51.39,1.9803921568627447,False,-51.39,1361.276008601852
2024-05-11,Chase Hooper,Viacheslav Borshchev,Chase Hooper,0.5857950300274539,0.4898785425101214,0.0959164875173325,44.3,1.9090909090909087,True,40.27272727272725,1401.5487358745793
2024-05-18,Edson Barboza,Lerone Murphy,Lerone Murphy,0.70122901430748,0.5893794380981784,0.11184957620930158,70.08,1.6024096385542168,True,42.21686746987951,1443.765603344459
2024-06-29,Anthony Smith,Roman Dolidze,Roman Dolidze,0.6552920504464677,0.558797046641455,0.09649500380501264,56.11,1.6896551724137931,True,38.69655172413793,1482.4621550685968
2024-07-20,Steve Garcia,SeungWoo Choi,Steve Garcia,0.6901226132363405,0.6092362344582594,0.08088637877808114,54.79,1.5714285714285714,True,31.308571428571426,1513.7707264971682
2024-09-07,Trevor Peek,Yanal Ashmouz,Yanal Ashmouz,0.6320868272060249,0.5324675324675325,0.0996192947384924,65.17,1.8,True,52.136,1565.9067264971682
2024-09-14,Irene Aldana,Norma Dumont,Norma Dumont,0.71511806742664,0.5427435387673957,0.1723745286592443,78.3,1.7692307692307692,True,60.230769230769226,1626.1374957279374
2024-09-28,Daniel Barez,Victor Altamirano,Victor Altamirano,0.630757781129041,0.5324675324675325,0.09829024866150848,68.79,1.8,False,-68.79,1557.3474957279375
2024-09-28,Ion Cutelaba,Ivan Erslan,Ion Cutelaba,0.5981943342574629,0.4826358742837299,0.11555845997373304,73.33,1.9803921568627447,True,71.89215686274507,1629.2396525906825
2024-10-05,Austin Hubbard,Alexander Hernandez,Alexander Hernandez,0.6800470023819167,0.4956702459300312,0.18437675645188556,81.46,1.925925925925926,True,75.42592592592592,1704.6655785166083
2024-10-05,Jose Aldo,Mario Bautista,Mario Bautista,0.6671537080061077,0.5260865852617197,0.14106712274438804,85.23,1.819672131147541,True,69.86065573770492,1774.5262342543133
2024-12-07,Chris Weidman,Eryk Anders,Eryk Anders,0.6942542618255438,0.4956702459300312,0.19858401589551267,88.73,1.925925925925926,True,82.15740740740742,1856.6836416617207
